Packet Counter,Source,Destination,Timestamp,Protocol
1,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.195379,6
2,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.208061,6
3,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.208154,6
4,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.223652,6
5,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.223831,6
6,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.239332,6
7,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.239894,6
8,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.249121,6
9,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.249141,6
10,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.265649,6
11,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.272790,6
12,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.272839,6
13,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.289589,6
14,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.301816,6
15,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.463133,17
16,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.489555,17
17,192.168.2.97,192.168.2.77,2020-09-06 23:33:41.691828,6
18,192.168.2.77,192.168.2.97,2020-09-06 23:33:41.698250,6
19,192.168.2.97,192.168.2.77,2020-09-06 23:33:41.712341,6
20,192.168.2.77,192.168.2.97,2020-09-06 23:33:41.715450,6
21,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.808020,17
22,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.808065,17
23,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.808090,17
24,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.808250,17
25,192.168.2.97,192.168.2.77,2020-09-06 23:33:41.823937,6
26,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.836536,17
27,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.837788,17
28,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.837819,17
29,192.168.2.107,192.168.2.77,2020-09-06 23:33:41.837849,17
30,192.168.2.77,192.168.2.107,2020-09-06 23:33:41.867883,17
31,192.168.2.77,192.168.2.111,2020-09-06 23:33:41.908370,6
32,192.168.2.111,192.168.2.77,2020-09-06 23:33:41.909933,6
